tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
12.1,9.4,16.1,0.0,,145.0,12.2,,1023.4,
13.3,11.1,16.1,2.3,,143.0,25.6,,1015.5,
13.3,10.6,17.8,9.9,,151.0,15.5,,1015.3,
14.2,9.4,15.0,36.1,,133.0,13.3,,1007.9,
12.3,10.0,15.0,7.9,,185.0,20.2,,1010.5,
11.9,10.6,15.0,6.9,,142.0,23.4,,1018.9,
15.2,11.7,19.4,0.0,,132.0,11.2,,1019.4,
14.6,11.7,16.1,15.0,,145.0,13.7,,1016.0,
13.6,10.6,14.4,29.7,,204.0,18.0,,1006.8,
10.6,8.3,12.2,19.6,,131.0,13.0,,1005.3,
9.6,6.1,13.3,21.1,,324.0,18.0,,1005.9,
8.1,3.3,13.3,0.0,,355.0,5.4,,1016.9,
7.9,3.9,13.3,5.3,,135.0,8.3,,1021.6,
9.8,3.3,12.2,0.3,,3.0,8.3,,1023.6,
7.4,2.2,13.9,0.0,,26.0,10.4,,1026.6,
7.1,1.1,13.9,0.0,,358.0,6.1,,1029.2,
8.9,4.4,16.7,0.0,,358.0,15.1,,1023.1,
11.8,5.0,16.7,0.0,,17.0,10.4,,1021.9,
9.8,2.8,16.7,0.0,,15.0,6.1,,1027.6,
10.7,2.8,21.1,0.0,,24.0,7.6,,1028.0,
14.3,8.3,20.6,0.0,,46.0,6.8,,1029.6,
10.3,4.4,15.6,0.0,,37.0,6.8,,1022.9,
8.9,5.0,13.9,0.0,,252.0,11.2,,1016.5,
9.9,7.8,10.6,0.0,,328.0,15.5,,1012.1,
8.2,2.8,13.3,0.0,,29.0,7.2,,1019.1,
6.6,1.1,13.9,0.0,,9.0,5.8,,1022.8,
